a	@
reconcile	`r\ek@nsAel
record	r\@`ko:d
record-player	`r\eko:dpl{I@
recorder	r\@`ko:d@
recount	r\@`k{Ont
recover	r\@`k6v@
recreation	r\ekr\i:`{IS@n
recruit	r\@`kr\}:t
rectangle	`r\ekt{Ng@l
rectum	`r\ekt@m
recuperate	r\@`k}:p@r\{It
recur	r\@`k3:
recycle	r\i:`sAek@l
red	r\ed
red-back	`r\edb{k
redeem	r\@`di:m
reduce	r\@`dj}:s
redundant	r\@`d6nd@nt
reef	r\i:f
reel	r\i:l
refer	r\@`f3:
referee	r\ef@`r\i:
reference	`r\efr\@ns
referendum	r\ef@`r\end@m
reflect	r\@`flekt
reflex	`r\i:fleks
reform	r\@`fo:m
refrain	r\@`fr\{In
refresh	r\@`fr\eS
refreshments	r\@`fr\eSm@nts
refrigerator	r\@`fr\IdZ@r\{It@
refuge	`r\efj}:dZ
refugee	r\efj}:`dZi:
refund	`r\i:f6nd
refuse	r\@`fj}:z
regain	r\@`g{In
regard	r\@`g6:d
regardless	r\@`g6:dl@s
regime	r\{I`Zi:m
region	`r\i:dZ@n
register	`r\edZ@st@
registry	`r\edZ@str\i:
rego	`r\edZ@}
regret	r\@`gr\et
regular	`r\egj@l@
regulate	`r\egj@l{It
regulation	r\egj@`l{IS@n
rehabilitate	r\i:h@`bIl@t{It
rehearse	r\@`h3:s
reign	r\{In
reimburse	r\i:Im`b3:s
rein	r\{In
reincarnation	r\i:Ink6:`n{IS@n
reinforce	r\i:In`fo:s
reinforcements	r\i:In`fo:sm@nts
reinstate	r\i:In`st{It
reject	r\@`dZekt
rejoice	r\@`dZoIs
relapse	r\@`l{ps
relate	r\@`l{It
relation	r\@`l{IS@n
relationship	r\@`l{IS@nSIp
relative	`r\el@tIv
relatively	`r\el@tIvli:
relax	r\@`l{ks
relaxing	r\@l{ksIN
relay	`r\i:l{I
release	r\@`li:s
relent	r\@`lent
relentless	r\@`lentl@s
relevant	`r\el@v@nt
reliable	r\@`lAe@b@l
reliant	r\@`lAe@nt
relic	`r\elIk
relief	r\@`li:f
relieve	r\@`li:v
religion	r\@`lIdZ@n
relish	r\elIS
reluctant	r\@`l6kt@nt
rely	r\@`lAe
remain	r\@`m{In
remainder	r\@`m{Ind@
remark	r\@`m6:k
remarkable	r\@`m6:k@b@l
remarry	r\i:`m{r\i:
remedy	`r\em@di:
remember	r\@`memb@
remind	r\@`mAend
remittance	r\@`mIt@ns
remnant	`r\emn@nt
remote	r\@`m@}t
removalist	r\@`m}:v@l@st
remove	r\@`m}:v
renal	`r\i:n@l
renew	r\@`nj}:
renounce	r\@`n{Ons
renovate	`r\en@v{It
rent	r\ent
rental	`r\ent@l
repair	r\@`pe:
repay	r\i:`p{I
repayment	r\@`p{Im@nt
repeat	r\@`pi:t
repeated	r\@`pi:t@d
repel	r\@`pel
repellent	r\@`pel@nt
repent	r\@`pent
replace	r\@`pl{Is
replay	`r\i:pl{I
replica	`r\eplIk@
reply	r\@`plAe
report	r\@`po:t
reporter	r\@`po:t@
repossess	r\i:p@`zes
represent	r\epr\@`zent
representative	r\epr\@`zent@tIv
reprieve	r\@`pr\i:v
reprimand	`r\epr\@m{nd
reprint	r\i:`pr\Int
reproach	r\@`pr\@}tS
reproduce	r\i:pr\@`dj}:s
reptile	`r\eptAel
republic	r\@`p6blIk
repugnant	r\@`p6gn@nt
repulsive	r\@`p6lsIv
reputable	`r\epj@t@b@l
reputation	r\epj@`t{IS@n
reputed	r\@`pj}:t@d
request	r\@`kwest
require	r\@`kwAe@
rescue	`r\eskj}:
research	r\@`s3:tS
resemble	r\@`zemb@l
resent	r\@`zent
reservation	r\ez@`v{IS@n
reserve	r\@`z3:v
reserved	r\@`z3:vd
reservoir	`r\ez@vw6:
residence	`r\ez@d@ns
resident	`r\ez@d@nt
residential	r\ez@`denS@l
residue	`r\ez@dj}:
resign	r\@`zAen
resist	r\@`zIst
resistance	r\@zIst@ns
resistant	r\@`zIst@nt
resolute	`r\ez@l}:t
resolution	r\ez@`l}:S@n
resolve	r\@`zOlv
resort	r\@`zo:t
resource	r\@`zo:s
resourceful	r\@`zo:sfUl
respect	r\@`spekt
respectable	r\@`spekt@b@l
respectively	r\@`spektIvli:
respiration	r\esp@`r\{IS@n
respond	r\@`spOnd
responsible	r\@`spOns@b@l
rest	r\est
restaurant	`r\est@r\Ont
restless	`r\estl@s
restore	r\@`sto:
restrain	r\@`str\{In
restrained	r\@`str\{Ind
restrict	r\@`str\Ikt
result	r\@`z6lt
resume	`r\eZ@m{I
resurrect	r\ez@`r\ekt
resuscitate	r\@`s6s@t{It
retail	`r\i:t{Il
retain	r\@`t{In
retaliate	r\@`t{li:{It
retire	r\@`tAe@
retrace	r\i:`tr\{Is
retreat	r\@`tr\i:t
retrench	r\@`tr\entS
retrieve	r\@`tr\i:v
retrospective	r\etr\@`spektIv
return	r\@`t3:n
reunion	r\i:`j}:nj@n
reveal	r\@`vi:l
revel	`r\ev@l
revenge	r\@`vendZ
revenue	`r\ev@nj}:
Reverend	`r\evr\@nd
reverent	`r\evr\@nt
reverse	r\@`v3:s
revert	r\@`v3:t
review	r\@`vj}:
revise	r\@`vAez
revive	r\@`vAev
revolt	r\@`v@}lt
revolution	r\ev@`l}:S@n
revolutionary	r\ev@`l}:S@nr\i:
revolve	r\@`vOlv
revolver	r\@`vOlv@
reward	r\@`wo:d
rewarding	r\@`wo:dIN
rheumatism	`r\}:m@tIz@m
rhyme	r\Aem
rhythm	`r\ID@m
rib	r\Ib
ribbon	`r\Ib@n
rice	r\Aes
rich	r\ItS
rid	r\Id
riddle	`r\Id@l
ride	r\Aed
ridge	r\IdZ
ridicule	`r\Id@kj}:l
ridiculous	r\@`dIkj@l@s
rifle	`r\Aef@l
rift	r\Ift
rig	r\Ig
right	r\Aet
rightful	`r\Aetf@l
rigid	`r\IdZ@d
rim	r\Im
rind	r\Aend
ring	r\IN
ring-in	`r\INIn
ringworm	`r\INw3:m
rinse	r\Ins
riot	`r\Ae@t
rip	r\Ip
ripcord	`r\Ipko:d
ripe	r\Aep
ripple	`r\Ip@l
rise	r\Aez
risk	r\Isk
risks	r\Isks
risky	r\Iski:
rival	`r\Aev@l
river	`r\Iv@
road	r\@}d
roadway	`r\@}dw{I
roadworks	`r\@}dw3:ks
roam	r\@}m
roar	r\o:
roaring	r\o:r\IN
roast	r\@}st
rob	r\Ob
robbery	`r\Ob@r\i:
robe	r\@}b
robot	`r\@}bOt
robust	`r\@}b6st
rock	r\Ok
rockery	`r\Ok@r\i:
rocket	`r\Ok@t
rod	r\Od
rode	r\@}d
rogue	r\@}g
role	r\@}l
roll	r\@}l
roller-skate	`r\@}l@sk{It
rolling	r\@}lIN
ROM	r\Om
Roman	`r\@}m@n
romance	r\@`m{ns
Romanian	r\@}`m{Ini:@n
romp	r\Omp
roof	r\}:f
room	r\}:m
rooms	r\}:mz
rooster	`r\}:st@
root	r\}:t
rope	r\@}p
ropeable	`r\@}p@b@l
rort	r\o:t
Rosas	r\@}z@z
rose	r\@}z
roses	r\@}z@z
roster	`r\Ost@
rosy	`r\@}zi:
rot	r\Ot
rotate	r\@}`t{It
rotten	`r\Ot@n
rough	r\6f
roughage	`r\6fIdZ
roulette	r\}:`let
round	r\{Ond
roundabout	`r\{Ond@b{Ot
rouse	r\{Oz
route	r\}:t
routine	r\}:`ti:n
row	r\@}
rowdy	`r\{Odi:
royal	`r\oI@l
royalty	`r\oI@lti:
RSL	6:r\es`el
RSVP	6:r\esvi:`pi:
rub	r\6b
rubber	`r\6b@
rubbish	`r\6bIS
rubble	`r\6b@l
rubella	r\}:`bel@
ruby	`r\}:bi:
rucksack	`r\6ks{k
rudder	`r\6d@
ruddy	`r\6di:
rude	r\}:d
ruffian	`r\6fi:@n
rug	r\6g
rugby	`r\6gbi:
rugged	`r\6g@d
ruin	`r\}:@n
rule	r\}:l
ruler	`r\}:l@
rum	r\6m
rumble	`r\6mb@l
rummage	`r\6mIdZ
rumour	`r\}:m@
rump	r\6mp
rumple	`r\6mp@l
rumpus	`r\6mp@s
run	r\6n
run-down	r\6n`d{On
rung	r\6N
runner-up	r\6n@r\`6p
runny	`r\6ni:
runt	r\6nt
runway	`r\6nw{I
rupture	`r\6ptS@
rural	`r\}:r\@l
rush	r\6S
rust	r\6st
rut	r\6t
ruthless	`r\}:Tl@s
S	es
s	es
SA	s{OT@`str\{Ilj@
Sabbath	`s{b@T
sabotage	`s{b@t6:Z
saccharin	`s{k@r\@n
sachet	`s{S{I
sack	s{k
sacrament	`s{kr\@m@nt
sacred	`s{Ikr\@d
sacrifice	`s{kr\@fAes
sacrilege	`s{kr\@lIdZ
sad	s{d
saddle	`s{d@l
safari	s@`f6:r\i:
safe	s{If
sag	s{g
saga	`s6:g@
sage	s{IdZ
said	sed
sail	s{Il
sailor	`s{Il@
saint	s{Int
sake	s{Ik
salad	`s{l@d
salami	s@`l6:mi:
salary	`s{l@r\i:
sale	s{Il
salesperson	`s{Ilzp3:s@n
saline	`s{IlAen
saliva	s@`lAev@
sallow	`s{l@}
salon	`s{lOn
saloon	s@`l}:n
salt	sOlt
salute	s@`l}:t
salvage	`s{lvIdZ
salvation	s{l`v{IS@n
same	s{Im
sample	`s{mp@l
sanatorium	s{n@`to:r\i:@m
sanction	`s{NkS@n
sand	s{nd
sandal	`s{nd@l
sandpaper	`s{ndp{Ip@
sandwich	`s{nwItS
sandy	s{ndi:
sane	s{In
sang	s{N
sanitary	s{n@tr\i:
sank	s{Nk
sap	s{p
sapphire	`s{fAe@
sarcasm	`s6:k{z@m
sardine	s6:`di:n
sari	`s6:r\i:
sarong	s@`r\ON
sash	s{S
sat	s{t
satchel	`s{tS@l
satellite	`s{t@lAet
satin	`s{t@n
satire	`s{tAe@
satisfactory	s{t@s`f{ktr\i:
satisfy	`s{t@sfAe
saturate	`s{tS@r\{It
Saturday	`s{t@d{I
sauce	so:s
saucepan	`so:sp@n
saucer	`so:s@
sauna	`so:n@
saunter	`so:nt@
sausage	`sOsIdZ
saute	`so:t{I
savage	`s{vIdZ
save	s{Iv
saviour	`s{Ivj@
savour	`s{Iv@
savoury	`s{Iv@r\i:
saw	so:
sawing	so:r\IN
say	s{I
says	sez
scab	sk{b
scaffold	`sk{f@}ld
scaffolding	`sk{f@ldIN
scald	sko:ld
scale	sk{Il
scallop	`skOl@p
scalp	sk{lp
scalpel	`sk{lp@l
scam	sk{m
scamp	sk{mp
scamper	`sk{mp@
scan	sk{n
scandal	`sk{nd@l
Scandinavian	sk{nd@`n{Ivi:@n
scant	sk{nt
scapegoat	`sk{Ipg@}t
scar	sk6:
scarce	ske:s
scarcely	`ske:sli:
scare	ske:
scarecrow	`ske:kr\@}
scared	ske:d
scarf	sk6:f
scarlet	`sk6:l@t
scary	`ske:r\i:
scathing	`sk{IDIN
scatter	`sk{t@
scatterbrain	`sk{t@br\{In
scatty	`sk{ti:
scavenge	`sk{v@ndZ
scene	si:n
scenery	`si:n@r\i:
scenes	si:nz
scent	sent
sceptical	`skeptIk@l
schedule	`SedZ}:l
scheme	ski:m
scholar	`skOl@
scholarship	`skOl@SIp
school	sk}:l
schooner	`sk}:n@
science	`sAe@ns
scientist	`sAe@nt@st
scissors	`sIz@z
scoff	skOf
scold	sk@}ld
scone	skOn
scoop	sk}:p
scooter	`sk}:t@
scope	sk@}p
scorch	sko:tS
score	sko:
scorn	sko:n
scorpio	sko:pi:@}
scot-free	skOt`fr\i:
scotch	skOtS
Scottish	`skOtIS
scoundrel	`sk{Ondr\@l
scout	sk{Ot
scowl	sk{Ol
scrabble	`skr\{b@l
scraggy	`skr\{gi:
scramble	`skr\{mb@l
scrap	skr\{p
scrape	skr\{Ip
scratch	skr\{tS
scrawl	skr\o:l
scream	skr\i:m
screech	skr\i:tS
screen	skr\i:n
screw	skr\}:
screwdriver	`skr\}:dr\Aev@
scribble	`skr\Ib@l
scrimp	skr\Imp
script	skr\Ipt
scripture	`skr\IptS@
scroll	skr\@}l
scrotum	`skr\@}t@m
scrounge	skr\{OndZ
scrub	skr\6b
scruff	skr\6f
scruffy	`skr\6fi:
scrum	skr\6m
scrupulous	`skr\}:pj@l@s
scrutinise	`skr\}:t@nAez
scuff	sk6f
scuffle	`sk6f@l
scullery	`sk6l@r\i:
sculpture	`sk6lptS@
scum	sk6m
scurry	`sk6r\i:
scuttle	`sk6t@l
sea	si:
seafood	`si:f}:d
seagull	si:g6l
seal	si:l
seam	si:m
seance	`s{IOns
search	s3:tS
seashore	`si:So:
seasickness	`si:sIkn@s
seaside	`si:sAed
season	`si:z@n
seasonal	`si:z@n@l
seat	si:t
sec	sek
secateurs	`sek@t@z
second	`sek@nd
second-class	`sek@ndkl6:s
second-hand	sek@nd`h{nd
second-rate	`sek@ndr\{It
secondary	`sek@ndr\i:
seconds	sek@ndz
secret	`si:kr\@t
secretary	`sekr\@tr\i:
secrete	s@`kr\i:t
sect	sekt
section	`sekS@n
sector	`sekt@
secular	`sekj@l@
secure	s@`kj}:@
security	s@`kj}:r\@ti:
sedan	s@`d{n
sedate	s@`d{It
sedative	`sed@tIv
sediment	`sed@m@nt
seduce	s@`dj}:s
see	si:
seed	si:d
seedling	`si:dlIN
seedy	`si:di:
seek	si:k
seem	si:m
seems	si:mz
seen	si:n
seep	si:p
seesaw	`si:so:
segment	`segm@nt
segregate	`segr\@g{It
seize	si:z
seldom	`seld@m
select	s@`lekt
selective	s@`lektIv
self	self
self-absorbed	self@bzo:bd
self-centred	self`sent@d
self-confident	self`kOnf@d@ns
self-conscious	self`kOnS@s
self-defence	selfd@`fens
self-service	self`s3:v@s
selfish	`selfIS
sell	sel
semen	`si:m@n
semester	s@`mest@
semi-conscious	semi:`kOnS@s
semi-detached	semi:d@`t{tSt
semicolon	semi:`k@}l@n
seminar	`sem@n6:
seminary	`sem@nr\i:
semitrailer	semi:`tr\{Il@
Senate	`sen@t
senator	`sen@t@
send	send
senile	`senAel
senior	`si:nj@
sensation	sen`s{IS@n
sensational	sen`s{IS@n@l
sense	sens
sensible	`sens@b@l
sensitive	`sens@tIv
sent	sent
sentence	`sent@ns
sentiment	`sent@m@nt
sentimental	sent@`ment@l
sentry	`sentr\i:
separate	`sepr\@t
Sept.	s@p`temb@
September	s@p`temb@
septic	`septIk
sequel	`si:kw@l
sequence	`si:kw@ns
Serbian	`s3:bi:@n
serenade	ser\@n{Id
serene	s@`r\i:n
sergeant	`s6:dZ@nt
serial	`sI@r\i:@l
series	`sI@r\i:z
serious	`sI@r\i:@s
sermon	`s3:m@n
serpent	`s3:p@nt
serrated	s@`r\{It@d
serum	`sI@r\@m
servant	`s3:v@nt
serve	s3:v
service	`s3:v@s
serviceable	`s3:v@s@b@l
serviette	s3:vi:`et
serving	`s3:vIN
session	`seS@n
set	set
set-up	`set6p
setback	`setb{k
settee	se`ti:
setting	`setIN
settle	`set@l
seven	`sev@n
seventeen	sev@n`ti:n
seventeenth	sev@n`ti:nT
seventh	`sev@nT
seventies	`sev@nti:z
seventy	`sev@nti:
sever	`sev@
several	`sevr\@l
severe	s@`vI@
sew	s@}
sewage	`s}:IdZ
sewer	`s}:@
sewerage	`s}:@r\IdZ
sex	seks
sexism	`seksIz@m
sexy	`seksi:
shabby	`S{bi:
shack	S{k
shade	S{Id
shadow	`S{d@}
shaggy	`S{gi:
shake	S{Ik
shake-up	`S{Ik6p
shall	S{l
shallow	`S{l@}
sham	S{m
shame	S{Im
shampoo	S{m`p}:
shandy	`S{ndi:
shant	S6:nt
shanty	`S{nti:
shape	S{Ip
share	Se:
shareholder	`Se:h@}ld@
shark	S6:k
Sharon	S{r\@n
sharp	S6:p
sharpener	`S6:pn@
shatter	`S{t@
shave	S{Iv
shaw	So:
Shaw	So:
shawl	So:l
she	Si:
she'll	Si:l
shear	SI@
shed	Sed
sheep	Si:p
sheepish	`Si:pIS
sheer	SI@
sheet	Si:t
shelf	Self
shell	Sel
shellfish	`SelfIS
shelter	`Selt@
shelve	Selv
shelving	`SelvIN
sheriff	Ser\@f
shield	Si:ld
shift	SIft
shifty	`SIfti:
shimmer	`SIm@
shin	SIn
shine	SAen
shingle	`SINg@l
ship	SIp
shipment	`SIpm@nt
shipshape	`SIpS{Ip
shirk	S3:k
shirt	S3:t
shit	SIt
shiver	`SIv@
shock	SOk
shoddy	`SOdi:
shoe	S}:
shone	SOn
shook	SUk
shoot	S}:t
shop	SOp
shopkeeper	`SOpki:p@
shoplift	`SOplIft
shore	So:
shorn	So:n
short	So:t
short-sighted	So:t`sAet@d
short-tempered	So:t`temp@d
shortage	`So:tIdZ
shortcoming	`So:tk6mIN
shortcut	So:tk6t
shorten	`So:t@n
shorthand	`So:th{nd
shortly	`So:tli:
shot	SOt
shotgun	`SOtg6n
should	SUd
shoulder	`S@}ld@
shout	S{Ot
shove	S6v
shovel	`S6v@l
show	S@}
show-off	`S@}Of
showdown	`S@}d{On
shower	`S{O@
showy	`S@}i:
shred	Sr\ed
shrew	Sr\}:
shrewd	Sr\}:d
shriek	Sr\i:k
shrill	Sr\Il
shrimp	Sr\Imp
shrink	Sr\INk
shrivel	`Sr\Iv@l
shrub	Sr\6b
shrug	Sr\6g
shudder	`S6d@
shuffle	`S6f@l
shun	S6n
shut	S6t
shutter	`S6t@
shy	SAe
sibling	`sIblIN
sick	sIk
sicken	`sIk@n
sickening	`sIk@nIN
sickie	`sIki:
sickly	`sIkli:
sickness	`sIkn@s
side	sAed
side-effects	`sAed@fekts
sideshow	`sAedS@}
sideways	`sAedw{Iz
siege	si:dZ
siesta	si:`est@
sieve	sIv
sift	si:ft
sigh	sAe
sight	sAet
sightseeing	`sAetsi:IN
sign	sAen
signal	`sIgn@l
signature	`sIgn@tS@
significant	sIg`nIf@k@nt
silence	`sAel@ns
silhouette	sIl@wet
silk	sIlk
silkworm	`sIlkw3:m
sill	sIl
silly	`sIli:
silver	`sIlv@
similar	`sIm@l@
simmer	`sIm@
simple	`sImp@l
simple-minded	`sImp@lmAend@d
simply	`sImpli:
simultaneous	sIm@l`t{Ini:@s
sin	sIn
since	sIns
sincere	sIn`sI@
sincerely	sIn`sI@li:
sing	sIN
singe	sIndZ
single	`sINg@l
single-handed	sINg@l`h{nd@d
single-minded	sINg@l`mAend@d
singlet	`sINl@t
singsong	`sINsON
singular	`sINgj@l@
sinister	`sIn@st@
sink	sINk
sinker	`sINk@
sinus	`sAen@s
sinusitis	sAen@`sAet@s
sip	sIp
sir	s3:
siren	`sAer\@n
sissy	`sIsi:
sister	`sIst@
sister-in-law	`sIst@r\Inlo:
sit	sIt
sit-in	`sItIn
sitcom	`sItkOm
site	sAet
sitter	`sIt@
situated	`sItS}:{It@d
situation	sItS}:`{IS@n
six	sIks
sixteen	sIks`ti:n
sixteenth	sIks`ti:nT
sixth	sIksT
sixty	`sIksti:
size	sAez
sizeable	`sAez@b@l
sizzle	`sIz@l
skate	sk{It
skein	sk{In
skeleton	`skel@t@n
sketch	sketS
sketchy	`sketSi:
skewer	`skj}:@
ski	ski:
skid	skId
skilful	`skIlf@l
skill	skIl
skim	skIm
skimp	skImp
skimpy	`skImpi:
skin	skIn
skinny	`skIni:
skip	skIp
skirt	sk3:t
skivvy	`skIvi:
skull	sk6l
sky	skAe
skyscraper	`skAeskr\{Ip@
slab	sl{b
slack	sl{k
slacken	`sl{k@n
slam	sl{m
slammer	`sl{m@
slander	`sl{nd@
slang	sl{N
slant	sl{nt
slap	sl{p
slapdash	`sl{pd{S
slapstick	`sl{pstIk
slash	sl{S
slat	sl{t
slate	sl{It
slaughter	`slo:t@
slave	sl{Iv
slay	sl{I
sleazy	`sli:zi:
sledge	sledZ
sledgehammer	`sledZh{m@
sleek	sli:k
sleep	sli:p
sleeve	sli:v
slender	`slend@
slice	slAes
slick	slIk
slide	slAed
slight	slAet
slim	slIm
slime	slAem
sling	slIN
slink	slINk
slinky	`slINki:
slip	slIp
slippers	`slIp@z
slippery	`slIp@r\i:
slit	slIt
slob	slOb
slobber	`slOb@
slog	slOg
slogan	`sl@}g@n
slop	slOp
slope	sl@}p
sloppily	slOp@li:
sloppy	`slOpi:
slosh	slOS
sloshed	slOSt
slot	slOt
sloth	sloT
slouch	sl{OtS
slovenly	`sl6v@nli:
slow	sl@}
slowly	sl@}li:
sludge	sl6dZ
slug	sl6g
sluggish	`sl6gIS
slum	sl6m
slump	sl6mp
slung	sl6N
slur	sl3:
slurp	sl3:p
slush	sl6S
slut	sl6t
sly	slAe
smack	sm{k
small	smo:l
smaller	smo:l@
smallgoods	`smo:lgUdz
smallpox	`smo:lpOks
smart	sm6:t
smash	sm{S
smear	smI@
smell	smel
smelt	smelt
smelter	`smelt@
smile	smAel
smirk	sm3:k
smithereens	smID@`r\i:nz
smog	smOg
smoke	sm@}k
smokescreen	`sm@}kskr\i:n
smooth	sm}:D
smorgasbord	`smo:g@sbo:d
smother	`sm6D@
smoulder	`sm@}ld@
smudge	sm6dZ
smug	sm6g
smuggle	`sm6g@l
snack	sn{k
snag	sn{g
snail	sn{Il
snake	sn{Ik
snap	sn{p
snappy	`sn{pi:
snapshot	`sn{pSOt
snarl	sn6:l
snatch	sn{tS
sneak	sni:k
sneer	snI@
sneeze	sni:z
sniff	snIf
sniffle	`snIf@l
snigger	`snIg@
snip	snIp
snipe	snAep
snivel	`snIv@l
snob	snOb
snooker	`sn}:k@
snoop	sn}:p
snooty	`sn}:ti:
snooze	sn}:z
snore	sno:
snorkel	`sno:k@l
snort	sno:t
snout	sn{Ot
snow	sn@}
snub	sn6b
snug	sn6g
snuggle	`sn6g@l
so	s@}
so-and-so	`s@}@ns@}
soak	s@}k
soap	s@}p
soar	so:
sob	sOb
sober	`s@}b@
soccer	`sOk@
social	`s@}S@l
socialise	`s@}S@lAez
socialism	`s@}S@lIz@m
society	s@`sAe@ti:
sociology	s@}si:`Ol@dZi:
sock	sOk
socket	`sOk@t
soda	`s@}d@
sodium	`s@}di:@m
sofa	`s@}f@
soft	sOft
soggy	`sOgi:
soil	soIl
solar	`s@}l@
sold	s@}ld
soldier	`s@}ldZ@
sole	s@}l
solemn	`sOl@m
solicitor	s@`lIs@t@
solid	`sOl@d
solitary	`sOl@tr\i:
solo	`s@}l@}
soloist	`s@}l@}@st
soluble	`sOlj@b@l
solution	s@`l}:S@n
solve	sOlv
sombre	`sOmb@
some	s6m
somebody	`s6mbOdi:
somehow	`s6mh{O
someone	`s6mw6n
somersault	`s6m@sOlt
something	`s6mTIN
sometime	`s6mtAem
sometimes	`s6mtAemz
somewhere	`s6mwe:
son	s6n
son-in-law	`s6nInlo:
song	sON
soon	s}:n
soot	sUt
soothe	s}:D
sophisticated	s@`fIst@k{It@d
sopping	`sOpIN
soprano	s@`pr\6:n@}
sorbet	`so:b{I
sordid	`so:d@d
sore	so:
sorrow	`sOr\@}
sorry	`sOr\i:
sort	so:t
souffle	`s}:fl{I
sought	so:t
soul	s@}l
sound	s{Ond
soup	s}:p
sour	`s{O@
source	so:s
south	s{OT
souvenir	s}:v@`nI@
soviet	`s@}vi:@t
sow	s@}
spa	sp6:
space	sp{Is
spacecraft	`sp{Iskr\6:ft
spacious	`sp{IS@s
spade	sp{Id
spaghetti	sp@`geti:
span	sp{n
Spanish	`sp{nIS
spank	sp{Nk
spanner	`sp{n@
spare	spe:
spark	sp6:k
sparkle	`sp6:k@l
sparse	sp6:s
spasm	`sp{z@m
spasmodic	sp{z`mOdIk
spastic	`sp{stIk
speak	spi:k
speaker	`spi:k@
spear	spI@
special	`speS@l
specialise	`speS@lAez
specialised	`speS@lAezd
specialist	`speS@l@st
specially	`speS@li:
species	`spi:si:z
specific	sp@`sIfIk
specification	spes@f@`k{IS@n
specify	`spes@fAe
specimen	`spes@m@n
speck	spek
spectacle	`spekt@k@l
spectacles	`spekt@k@lz
spectacular	spek`t{kj@l@
spectator	spek`t{It@
spectrum	`spektr\@m
speculate	`spekj@l{It
sped	sped
speech	spi:tS
speed	spi:d
speedometer	spi:`dOm@t@
spell	spel
spelt	spelt
spencer	`spens@
spend	spend
spendthrift	`spendTr\Ift
spent	spent
sperm	sp3:m
spew	spj}:
sphere	sfI@
spice	spAes
spider	`spAed@
spike	spAek
spiky	spAeki:
spill	spIl
spilt	spIlt
spin	spIn
spin-dry	spIn`dr\Ae
spine	spAen
spineless	`spAenl@s
spinnaker	`spIn@k@
spinster	`spInst@
spiny	`spAeni:
spiral	`spAer\@l
spire	`spAe@
spirit	`spIr\@t
spiritual	`spIr\@tS@l
spit	spIt
spite	spAet
spiteful	`spAetfUl
splash	spl{S
splatter	`spl{t@
spleen	spli:n
splendid	`splend@d
splint	splInt
splinter	`splInt@
split	splIt
split-level	`splItlev@l
splotch	splOtS
splutter	`spl6t@
spoil	spoIl
spoke	sp@}k
spoken	`sp@}k@n
spokesperson	`sp@}ksp3:s@n
sponge	sp6ndZ
sponsor	`spOns@
sponsorship	`spOns@SIp
spontaneous	spOn`t{Ini:@s
spook	sp}:k
spooky	`sp}:ki:
spoon	sp}:n
sporadic	sp@`r\{dIk
sport	spo:t
sports	spo:ts
spot	spOt
spotless	`spOtl@s
spotted	`spOt@d
spotty	`spOti:
spouse	sp{Os
spout	sp{Ot
sprain	spr\{In
sprang	spr\{N
sprawl	spr\o:l
spray	spr\{I
spread	spr\ed
spree	spr\i:
spring	spr\IN
spring-clean	spr\IN`kli:n
Springwood	spr\INwUd
sprinkle	`spr\INk@l
sprinkler	`spr\INkl@
sprint	spr\Int
sprout	spr\{Ot
sprouts	spr\{Ots
sprung	spr\6N
spud	sp6d
spun	sp6n
spur	sp3:
spurt	sp3:t
spy	spAe
squabble	`skwOb@l
squad	skwOd
squalid	`skwOl@d
squander	`skwOnd@
square	skwe:
squash	skwOS
squeak	skwi:k
squeal	skwi:l
squeeze	skwi:z
squint	skwInt
squirm	skw3:m
squirt	skw3:t
stab	st{b
stable	`st{Ib@l
stack	st{k
stadium	`st{Idi:@m
staff	st6:f
stage	st{IdZ
stagger	`st{g@
stagnant	`st{gn@nt
stain	st{In
stair	ste:
staircase	`ste:k{Is
stake	st{Ik
stale	st{Il
stalk	sto:k
stall	sto:l
stamina	`st{m@n@
stammer	`st{m@
stamp	st{mp
stampede	st{m`pi:d
stand	st{nd
stand-by	`st{ndbAe
standard	`st{nd@d
standing	`st{ndIN
standstill	`st{ndstIl
staple	`st{Ip@l
stapler	`st{Ipl@
star	st6:
starch	st6:tS
stare	ste:
stark	st6:k
start	st6:t
startle	`st6:t@l
starve	st6:v
state	st{It
statement	`st{Itm@nt
static	`st{tIk
station	`st{IS@n
stationary	`st{IS@nr\i:
stationery	`st{IS@nr\i:
statistics	st@`tIstIks
statue	`st{tS}:
status	`st{It@s
statute	`st{tS}:t
stay	st{I
STD	esti:`di:
steadfast	`stedf6:st
steady	`stedi:
steak	st{Ik
steal	sti:l
steam	sti:m
steel	sti:l
steep	sti:p
steeple	sti:p@l
steer	stI@
stem	stem
stenographer	st@`nOgr\@f@
step	step
stepfather	`stepf6:D@
stepladder	`stepl{d@
stepmother	`stepm6D@
stereo	`ster\i:@}
sterile	`ster\Ael
sterilise	`ster\@lAez
stern	st3:n
stethoscope	`steT@sk@}p
stew	stj}:
steward	`stj}:@d
stick	stIk
sticker	`stIk@
sticky	`stIki:
stiff	stIf
stigma	`stIgm@
still	stIl
stimulant	`stImj@l@nt
stimulate	`stImj@l{It
sting	stIN
stingy	`stIndZi:
stink	stINk
stir	st3:
stitch	stItS
stock	stOk
stocking	`stOkIN
stockman	`stOkm@n
stocky	`stOki:
stole	st@}l
stolen	`st@}l@n
stomach	`st6m@k
stone	st@}n
stone-cold	st@}n`k@}ld
stones	st@}nz
stood	stUd
stool	st}:l
stoop	st}:p
stop	stOp
stopover	`stOp@}v@
stopper	`stOp@
storage	`sto:r\IdZ
