'em	@ m
no-man's-land	' n @} - m { n z - l { n d
no-one	' n @} - w 6 n
nob	' n O b
nobble	' n O b l
nobbled	' n O b l d
nobbles	' n O b l z
nobbling	' n O b - l I N
nobility	' n @} b - ' I l - I t - i:
noble	' n @} b l
noble-mindedness	' n @} b l - ' m Ae n d - I d - n @ s
nobleman	' n @} b l m - @ n
noblemen	' n @} b l m - @ n
nobler	' n @} b - l @ r\
nobles	' n @} b l z
noblesse	' n @} b - ' l e s
noblesse oblige	' n @} b - ' l e s - @ b - ' l i: Z
noblest	' n @} b - l I s t
nobly	' n @} b - l i:
nobodies	' n @} b - @ d - I z
nobody	' n @} b - @ d - i:
nobs	' n O b z
noctambulist	' n O k - ' t { m b - j U l - I s t
noctambulists	' n O k - ' t { m b - j U l - I s t s
nocturnal	' n O k - ' t @@ n l
nocturne	' n O k - t @@ n
nocturnes	' n O k - t @@ n z
nod	' n O d
nodded	' n O d - I d
nodding	' n O d - I N
noddle	' n O d l
noddles	' n O d l z
node	' n @} d
nodes	' n @} d z
nods	' n O d z
nodular	' n O d - j U l - @ r\
nodulated	' n O d - j U l - {I t - I d
nodule	' n O d - j }: l
nodules	' n O d - j }: l z
noggin	' n O g - I n
noggins	' n O g - I n z
nohow	' n @} h - au
noir	' n w 6: r\
noise	' n oI z
noised	' n oI z d
noiseless	' n oI z - l @ s
noiselessly	' n oI z - l @ s - l i:
noiselessness	' n oI z - l @ s - n @ s
noises	' n oI z - I z
noisier	' n oI z - i@ r\
noisiest	' n oI z - I - I s t
noisily	' n oI z - I l - i:
noisiness	' n oI z - I n - @ s
noising	' n oI z - I N
noisome	' n oI s - @ m
noisy	' n oI z - i:
nom de plume	' n O m - d @ - ' p l }: m
nomad	' n @} m - { d
nomadic	' n @} m - ' { d - I k
nomads	' n @} m - { d z
nomenclature	' n @ m - ' e n k - l @ tS - @ r\
nomenclatures	' n @ m - ' e n k - l @ tS - @ z
nomenklatura	n O m - ' e n k - l @ t - ' j }: r\ - @
nominal	' n O m - I n l
nominally	' n O m - I n - @ l - i:
nominate	' n O m - I n - {I t
nominated	' n O m - I n - {I t - I d
nominates	' n O m - I n - {I t s
nominating	' n O m - I n - {I t - I N
nomination	' n O m - I n - ' {I S - @ n
nominations	' n O m - I n - ' {I S - @ n z
nominative	' n O m - I n - @ t - I v
nominatives	' n O m - I n - @ t - I v z
nominee	' n O m - I n - ' i:
nominees	' n O m - I n - ' i: z
noms de plume	' n O m - d @ - ' p l }: m
non compos mentis	' n O n - ' k O m p - @ s - ' m e n t - I s
non sequitur	' n O n - ' s e k - w I t - @ r\
non sequiturs	' n O n - ' s e k - w I t - @ z
non-	' n O n
non-U	' n O n - j }:
non-compliance	' n O n - k @ m p - ' l Ae - @ n s
non-contentious	' n O n - k @ n t - ' e n S - @ s
non-interference	' n O n - I n t - @ f - ' i@ r\ - @ n s
non-skid	' n O n - s k I d
nonage	' n @} n - I dZ
nonagenarian	' n O n - @ dZ - I n - ' e@ r\ - i@ n
nonagenarians	' n O n - @ dZ - I n - ' e@ r\ - i@ n z
nonaggression	' n O n - @ g - ' r\ e S - @ n
nonalignment	' n O n - @ l - ' Ae n - m @ n t
noncallable	' n O n k - ' o: l - @ b - @ l
nonce	' n O n s
nonce-word	' n O n s - w @@ d
nonce-words	' n O n s - w @@ d z
nonces	' n O n s - I z
nonchalance	' n O n S - @ l - @ n s
nonchalant	' n O n S - @ l - @ n t
nonchalantly	' n O n S - @ l - @ n t - l i:
noncombatant	' n O n k - ' O m b - @ t - @ n t
noncombatants	' n O n k - ' O m b - @ t - @ n t s
noncommissioned	' n O n k - @ m - ' I S - @ n d
noncommittal	' n O n k - @ m - ' I t l
noncommunist	n O n - ' k O m j - }: n - I s t
nonconductor	' n O n k - @ n d - ' 6 k - t @ r\
nonconductors	' n O n k - @ n d - ' 6 k - t @ z
nonconformist	' n O n k - @ n f - ' o: m - I s t
nonconformists	' n O n k - @ n f - ' o: m - I s t s
nonconformity	' n O n k - @ n f - ' o: m - I t - i:
nondescript	' n O n d - I s - k r\ I p t
nondescripts	' n O n d - I s - k r\ I p t s
none	n 6 n
nonentities	' n O n - ' e n t - I t - I z
nonentity	' n O n - ' e n t - I t - i:
nonesuch	' n 6 n s - 6 tS
nonetheless	' n 6 n D - @ l - ' e s
nonevent	' n O n - I v - e n t
nonevents	' n O n - I v - e n t s
nonfiction	' n O n f - ' I k - S @ n
nonflammable	' n O n f - ' l { m - @ b l
nonintervention	' n O n - I n t - @ v - ' e n S - @ n
nonmoral	' n O n - ' m O r\ - @ l
nonobservance	' n O n - @ b - ' z @@ v - @ n s
nonpareil	' n O n p - @ r\ - ' {I l
nonpareils	' n O n p - @ r\ - ' {I l z
nonpayment	' n O n p - ' {I m - @ n t
nonpayments	' n O n p - ' {I m - @ n t s
nonplus	' n O n p - ' l 6 s
nonplussed	' n O n p - ' l 6 s t
nonplusses	' n O n p - ' l 6 s - I z
nonplussing	' n O n p - ' l 6 s - I N
nonprofit	' n O n - ' p r\ O f - I t
nonresident	' n O n r\ - ' e z - I d - @ n t
nonsense	' n O n s n s
nonsenses	' n O n s n s - I z
nonsensical	' n O n s - ' e n s - I k l
nonsmoker	' n O n s - ' m @} k - @ r\
nonsmokers	' n O n s - ' m @} k - @ z
nonstarter	' n O n s - ' t 6: t - @ r\
nonstarters	' n O n s - ' t 6: t - @ z
nonstick	' n O n s - t I k
nonstop	' n O n s - t O p
nonsuch	' n 6 n s - 6 tS
nonunion	' n O n j - ' }: n - i@ n
nonviolence	' n O n v - ' Ae - @ l - @ n s
noodle	' n }: d l
noodles	' n }: d l z
nook	' n U k
nooks	' n U k s
noon	' n }: n
noonday	' n }: n d - {I
noontide	' n }: n t - Ae d
noose	' n }: s
noosed	' n }: s t
nooses	' n }: s - I z
noosing	' n }: s - I N
nope	' n @} p
nor	n o: r\
nor'-	' n o: r\
nor'-east	' n o: r\ - ' i: s t
nor'-nor'-east	' n o: - n o: r\ - ' i: s t
nor'-nor'-west	' n o: - n o: - ' w e s t
nor'-west	' n o: - ' w e s t
norm	' n o: m
normal	' n o: m l
normalcy	' n o: m l s - i:
normality	' n o: m - ' { l - I t - i:
normalization	' n o: m - @ l - Ae z - ' {I S - @ n
normalizations	' n o: m - @ l - Ae z - ' {I S - @ n z
normalize	' n o: m - @ l - Ae z
normalized	' n o: m - @ l - Ae z d
normalizes	' n o: m - @ l - Ae z - I z
normalizing	' n o: m - @ l - Ae z - I N
normally	' n o: m - @ l - i:
normative	' n o: m - @ t - I v
norms	' n o: m z
north	' n o: T
north-northeast	' n o: T - n o: T - ' i: s t
north-northwest	' n o: T - n o: T - ' w e s t
northeast	' n o: T - ' i: s t
northeaster	' n o: T - ' i: s - t @ r\
northeasterly	' n o: T - ' i: s - t @ l - i:
northeastern	' n o: T - ' i: s - t @ n
northeasters	' n o: T - ' i: s - t @ z
northerly	' n o: D - @ l - i:
northern	' n o: D - @ n
northerner	' n o: D - @ n - @ r\
northerners	' n o: D - @ n - @ z
northernmost	' n o: D - @ n - m @} s t
northward	' n o: T - w @@ d
northwards	' n o: T - w @ d z
northwest	' n o: T - ' w e s t
northwester	' n o: T - ' w e s - t @ r\
northwesterly	' n o: T - ' w e s - t @ l - i:
northwestern	' n o: T - ' w e s - t @ n
northwesters	' n o: T - ' w e s - t @ z
nos	' n 6 m b - @ z
nose	' n @} z
nose-flute	' n @} z - f l }: t
nose-flutes	' n @} z - f l }: t s
nose-wheel	' n @} z - w i: l
nose-wheels	' n @} z - w i: l z
nosebag	' n @} z - b { g
nosebags	' n @} z - b { g z
nosebleed	' n @} z - b l i: d
nosebleeds	' n @} z - b l i: d z
nosecone	' n @} z k - @} n
nosecones	' n @} z k - @} n z
nosed	' n @} z d
nosedive	' n @} z - d Ae v
nosedived	' n @} z - d Ae v d
nosedives	' n @} z - d Ae v z
nosediving	' n @} z - d Ae v - I N
nosegay	' n @} z - g {I
nosegays	' n @} z - g {I z
nosering	' n @} z - r\ I N
noserings	' n @} z - r\ I N z
noses	' n @} z - I z
nosey	' n @} z - i:
nosh	' n O S
nosh-up	' n O S - 6 p
nosh-ups	' n O S - 6 p s
noshed	' n O S t
noshes	' n O S - I z
noshing	' n O S - I N
nosier	' n @} z - i@ r\
nosiest	' n @} z - I - I s t
nosing	' n @} z - I N
nostalgia	' n O s - ' t { l dZ - @
nostalgic	' n O s - ' t { l dZ - I k
nostalgically	' n O s - ' t { l dZ - I k - l i:
nostril	' n O s - t r\ @ l
nostrils	' n O s - t r\ @ l z
nostrum	' n O s - t r\ @ m
nostrums	' n O s - t r\ @ m z
nosy	' n @} z - i:
not	' n O t
nota bene	' n @} t - @ - ' b e n - {I
notabilities	' n @} t - @ b - ' I l - I t - I z
notability	' n @} t - @ b - ' I l - I t - i:
notable	' n @} t - @ b l
notables	' n @} t - @ b l z
notably	' n @} t - @ b - l i:
notaries	' n @} t - @ r\ - I z
notary	' n @} t - @ r\ - i:
notation	' n @} t - ' {I S - @ n
notations	' n @} t - ' {I S - @ n z
notch	' n O tS
notched	' n O tS t
notches	' n O tS - I z
notching	' n O tS - I N
note	' n @} t
notebook	' n @} t - b U k
notebooks	' n @} t - b U k s
notecase	' n @} t - k {I s
notecases	' n @} t - k {I s - I z
noted	' n @} t - I d
notepaper	' n @} t - p {I p - @ r\
notes	' n @} t s
noteworthy	' n @} t - w @@ D - i:
nothing	' n 6 T - I N
nothingness	' n 6 T - I N - n @ s
nothings	' n 6 T - I N z
notice	' n @} t - I s
notice-board	' n @} t - I s - b o: d
notice-boards	' n @} t - I s - b o: d z
noticeable	' n @} t - I s - @ b l
noticeably	' n @} t - I s - @ b - l i:
noticed	' n @} t - I s t
notices	' n @} t - I s - I z
noticing	' n @} t - I s - I N
notifiable	' n @} t - I f - Ae - @ b l
notification	' n @} t - I f - I k - ' {I S - @ n
notifications	' n @} t - I f - I k - ' {I S - @ n z
notified	' n @} t - I f - Ae d
notifies	' n @} t - I f - Ae z
notify	' n @} t - I f - Ae
notifying	' n @} t - I f - Ae - I N
noting	' n @} t - I N
notion	' n @} S - @ n
notional	' n @} S - @ n - @ l
notions	' n @} S - @ n z
notoriety	' n @} t - @ r\ - ' Ae - @ t - i:
notorious	' n @} t - ' o: r\ - i@ s
notoriously	' n @} t - ' o: r\ - i@ s - l i:
notwithstanding	' n O t - w I T - ' s t { n d - I N
nougat	' n }: g - 6:
nougats	' n }: g - 6: z
nought	' n o: t
noughts	' n o: t s
noun	' n au n
nouns	' n au n z
nourish	' n 6 r\ - I S
nourished	' n 6 r\ - I S t
nourishes	' n 6 r\ - I S - I z
nourishing	' n 6 r\ - I S - I N
nourishment	' n 6 r\ - I S - m @ n t
nous	' n au s
nouveau	m }: v - ' @}
nouveau riche	' n }: v - @} - ' r\ i: S
nouveaux riches	' n }: v - @} - ' r\ i: S
nouvelle	n }: v - ' e l
nova	' n @} v - @
novae	' n @} v - i:
novas	' n @} v - @ z
novel	' n O v - @ l
novelette	' n O v - @ l - ' e t
novelettes	' n O v - @ l - ' e t s
novelist	' n O v - @ l - I s t
novelists	' n O v - @ l - I s t s
novels	' n O v - @ l z
novelties	' n O v - @ l t - I z
novelty	' n O v - @ l t - i:
novice	' n O v - I s
novices	' n O v - I s - I z
noviciate	' n @ v - ' I S - i@ t
noviciates	' n @ v - ' I S - i@ t s
novitiate	' n @ v - ' I S - i@ t
novitiates	' n @ v - ' I S - i@ t s
now	n au
nowadays	' n au - @ d - {I z
nowhere	' n @} w - e@ r\
nowise	' n @} w - Ae z
noxious	' n O k - S @ s
noxiously	' n O k - S @ s - l i:
noxiousness	' n O k - S @ s - n @ s
nozzle	' n O z l
nozzles	' n O z l z
nr	' n i@ r\
nuance	' n j }: - 6: n s
nuanced	' n j }: - @ n s t
nuances	' n j }: - 6: n s - I z
nub	' n 6 b
nubile	' n j }: b - Ae l
nubs	' n 6 b z
nuclear	' n j }: k - l i@ r\
nuclei	' n j }: k - l I - Ae
nucleic	' n j }: k - ' l {I - I k
nucleus	' n j }: k - l i@ s
nude	' n j }: d
nudes	' n j }: d z
nudge	' n 6 dZ
nudged	' n 6 dZ d
nudges	' n 6 dZ - I z
nudging	' n 6 dZ - I N
nudism	' n j }: d - I z - @ m
nudist	' n j }: d - I s t
nudists	' n j }: d - I s t s
nudity	' n j }: d - I t - i:
nugatory	' n j }: g - @ t - @ r\ - i:
nugget	' n 6 g - I t
nuggets	' n 6 g - I t s
nuisance	' n j }: s n s
nuisances	' n j }: s n s - I z
null	' n 6 l
nullification	' n 6 l - I f - I k - ' {I S - @ n
nullified	' n 6 l - I f - Ae d
nullifies	' n 6 l - I f - Ae z
nullify	' n 6 l - I f - Ae
nullifying	' n 6 l - I f - Ae - I N
nullity	' n 6 l - I t - i:
numb	' n 6 m
numbed	' n 6 m d
number	' n 6 m b - @ r\
numbered	' n 6 m b - @ d
numbering	' n 6 m b - @ r\ - I N
numberless	' n 6 m b - @ l - I s
numberplate	' n 6 m b - @ p - l {I t
numberplates	' n 6 m b - @ p - l {I t s
numbers	' n 6 m b - @ z
numbing	' n 6 m - I N
numbly	' n 6 m - l i:
numbness	' n 6 m - n @ s
numbs	' n 6 m z
numerable	' n j }: m - @ r\ - @ b l
numeracy	' n j }: m - @ r\ - @ s - i:
numeral	' n j }: m - @ r\ - @ l
numerals	' n j }: m - @ r\ - @ l z
numerate	' n j }: m - @ r\ - @ t
numeration	' n j }: m - @ r\ - ' {I S - @ n
numerations	' n j }: m - @ r\ - ' {I S - @ n z
numerator	' n j }: m - @ r\ - {I t - @ r\
numerators	' n j }: m - @ r\ - {I t - @ z
numeric	' n j }: m - ' e r\ - I k
numerical	' n j }: m - ' e r\ - I k l
numerically	' n j }: m - ' e r\ - I k - l i:
numerous	' n j }: m - @ r\ - @ s
numinous	' n j }: m - I n - @ s
numismatics	' n j }: m - I z - ' m { t - I k s
numismatist	' n j }: m - ' I z - m @ t - I s t
numismatists	' n j }: m - ' I z - m @ t - I s t s
numskull	' n 6 m s - k 6 l
numskulls	' n 6 m s - k 6 l z
nun	' n 6 n
nunciature	n @ n s - ' i: - @ tS - u@ r\
nuncio	' n 6 n s - i@ - @
nuncios	' n 6 n s - i@ - U z
nunneries	' n 6 n - @ r\ - I z
nunnery	' n 6 n - @ r\ - i:
nuns	' n 6 n z
nuptial	' n 6 p S l
nuptials	' n 6 p S l z
nurse	' n @@ s
nursed	' n @@ s t
nurseling	' n @@ s - l I N
nurselings	' n @@ s - l I N z
nursemaid	' n @@ s - m {I d
nursemaids	' n @@ s - m {I d z
nurseries	' n @@ s - @ r\ - I z
nursery	' n @@ s - @ r\ - i:
nurseryman	' n @@ s - @ r\ - I m - @ n
nurserymen	' n @@ s - @ r\ - I m - @ n
nurses	' n @@ s - I z
nursing	' n @@ s - I N
nursing-home	' n @@ s - I N - h @} m
nursing-homes	' n @@ s - I N - h @} m z
nursling	' n @@ s - l I N
nurslings	' n @@ s - l I N z
nurture	' n @@ tS - @ r\
nurtured	' n @@ tS - @ d
nurtures	' n @@ tS - @ z
nurturing	' n @@ tS - @ r\ - I N
nut	' n 6 t
nut-brown	' n 6 t - b r\ au n
nut-butter	' n 6 t - ' b 6 t - @ r\
nut-butters	' n 6 t - ' b 6 t - @ z
nutcrackers	' n 6 t - k r\ { k - @ z
nuthouse	' n 6 t - h au s
nuthouses	' n 6 t - h au z - I z
nutmeg	' n 6 t - m e g
nutmegs	' n 6 t - m e g z
nutria	' n j }: t - r\ i@
nutrient	' n j }: t - r\ i@ n t
nutrients	' n j }: t - r\ i@ n t s
nutriment	' n j }: t - r\ I m - @ n t
nutriments	' n j }: t - r\ I m - @ n t s
nutrition	' n j }: t - ' r\ I S - @ n
nutritional	' n j }: t - ' r\ I S - @ n l
nutritionally	' n j }: t - ' r\ I S - @ n - @ l - i:
nutritious	' n j }: t - ' r\ I S - @ s
nutritive	' n j }: t - r\ I t - I v
nuts	' n 6 t s
nutshell	' n 6 t - S e l
nutshells	' n 6 t - S e l z
nutted	' n 6 t - I d
nuttier	' n 6 t - i@ r\
nuttiest	' n 6 t - I - I s t
nutting	' n 6 t - I N
nutty	' n 6 t - i:
nuzzle	' n 6 z l
nuzzled	' n 6 z l d
nuzzles	' n 6 z l z
nuzzling	' n 6 z - l I N
nylon	' n Ae l - O n
nylons	' n Ae l - O n z
nymph	' n I m f
nymphet	' n I m f - ' e t
nymphets	' n I m f - ' e t s
nympho	' n I m f - @}
nymphomania	' n I m f - @ m - ' {I n - i@
nymphomaniac	' n I m f - @ m - ' {I n - I - { k
nymphomaniacs	' n I m f - @ m - ' {I n - I - { k s
nymphos	' n I m f - @} z
nymphs	' n I m f s
o	' @}
o'clock	' @ k - ' l O k
o'er	o: r\
o's	' @} z
oaf	' @} f
oafish	' @} f - I S
oafs	' @} f s
oak	' @} k
oak-apple	' @} k - { p l
oak-apples	' @} k - { p l z
oaken	' @} k - @ n
oaks	' @} k s
oakum	' @} k - @ m
oar	' o: r\
oars	' o: z
oarsman	' o: z - m @ n
oarsmanship	' o: z - m @ n S - I p
oarsmen	' o: z - m @ n
oarswoman	' o: z - w U m - @ n
oarswomen	' o: z - w I m - I n
oases	' @} - ' {I s - i: z
oasis	' @} - ' {I s - I s
oast	' @} s t
oasthouse	' @} s - t h au s
oasthouses	' @} s - t h au z - I z
oasts	' @} s t s
oat	' @} t
oatcake	' @} t - k {I k
oatcakes	' @} t - k {I k s
oath	' @} T
oaths	' @} D z
oatmeal	' @} t - m i: l
oats	' @} t s
oaves	' @} v z
ob	' O b
obbligato	' O b - l I g - ' 6: t - @}
obbligatos	' O b - l I g - ' 6: t - @} z
obduracy	' O b - d j u@ r\ - @ s - i:
obdurate	' O b - d j u@ r\ - @ t
obdurately	' O b - d j u@ r\ - @ t - l i:
obedience	' @ b - ' i: d - i@ n s
obedient	' @ b - ' i: d - i@ n t
obediently	' @ b - ' i: d - i@ n t - l i:
obeisance	' @} b - ' {I s n s
obeisances	' @} b - ' {I s n s - I z
obelisk	' O b - @ l - I s k
obelisks	' O b - @ l - I s k s
obese	' @} b - ' i: s
obesity	' @} b - ' i: s - I t - i:
obey	' @ b - ' {I
obeyed	' @ b - ' {I d
obeying	' @ b - ' {I - I N
obeys	' @ b - ' {I z
obfuscate	' O b f - @ s - k {I t
obfuscated	' O b f - @ s - k {I t - I d
obfuscates	' O b f - @ s - k {I t s
obfuscating	' O b f - @ s - k {I t - I N
obi	' @} b - i:
obis	' @} b - I z
obiter dicta	' O b - I t - @ - ' d I k - t @
obiter dictum	' O b - I t - @ - ' d I k - t @ m
obituaries	' @ b - ' I tS - u@ r\ - I z
obituary	' @ b - ' I tS - u@ r\ - i:
object	' @ b - ' dZ e k t
objected	' @ b - ' dZ e k - t I d
objecting	' @ b - ' dZ e k - t I N
objection	' @ b - ' dZ e k - S @ n
objectionable	' @ b - ' dZ e k - S @ n - @ b l
objectionably	' @ b - ' dZ e k - S @ n - @ b - l i:
objections	' @ b - ' dZ e k - S @ n z
objective	' @ b - ' dZ e k - t I v
objectively	' @ b - ' dZ e k - t I v - l i:
objectives	' @ b - ' dZ e k - t I v z
objectivity	' O b - dZ e k - ' t I v - I t - i:
objector	' @ b - ' dZ e k - t @ r\
objectors	' @ b - ' dZ e k - t @ z
objects	' @ b - ' dZ e k t s
objurgate	' O b - dZ @ g - {I t
objurgated	' O b - dZ @ g - {I t - I d
objurgates	' O b - dZ @ g - {I t s
objurgating	' O b - dZ @ g - {I t - I N
objurgation	' O b - dZ @ g - ' {I S - @ n
objurgations	' O b - dZ @ g - ' {I S - @ n z
oblate	' O b - l {I t
oblation	' @ b - ' l {I S - @ n
oblations	' @ b - ' l {I S - @ n z
obligate	' O b - l I g - {I t
obligated	' O b - l I g - {I t - I d
obligates	' O b - l I g - {I t s
obligating	' O b - l I g - {I t - I N
obligation	' O b - l I g - ' {I S - @ n
obligations	' O b - l I g - ' {I S - @ n z
obligatory	' @ b - ' l I g - @ t - r\ i:
oblige	' @ b - ' l Ae dZ
obliged	' @ b - ' l Ae dZ d
obliges	' @ b - ' l Ae dZ - I z
obliging	' @ b - ' l Ae dZ - I N
obligingly	' @ b - ' l Ae dZ - I N - l i:
oblique	' @ b - ' l i: k
obliquely	' @ b - ' l i: k - l i:
obliquities	' @ b - ' l I k - w I t - I z
obliquity	' @ b - ' l I k - w I t - i:
obliterate	' @ b - ' l I t - @ r\ - {I t
obliterated	' @ b - ' l I t - @ r\ - {I t - I d
obliterates	' @ b - ' l I t - @ r\ - {I t s
obliterating	' @ b - ' l I t - @ r\ - {I t - I N
obliteration	' @ b - ' l I t - @ r\ - ' {I S - @ n
oblivion	' @ b - ' l I v - i@ n
oblivious	' @ b - ' l I v - i@ s
oblong	' O b - l O N
oblongs	' O b - l O N z
obloquy	' O b - l @ k - w i:
obnoxious	' @ b - ' n O k - S @ s
obnoxiously	' @ b - ' n O k - S @ s - l i:
obnoxiousness	' @ b - ' n O k - S @ s - n @ s
oboe	' @} b - @}
oboes	' @} b - @} z
oboist	' @} b - @} - I s t
oboists	' @} b - @} - I s t s
obscene	' @ b s - ' i: n
obscenely	' @ b s - ' i: n - l i:
obscenities	' @ b s - ' e n - I t - I z
obscenity	' @ b s - ' e n - I t - i:
obscurantism	' O b s - k j U r\ - ' { n t - I z - @ m
obscurantist	' O b s - k j U r\ - ' { n t - I s t
obscurantists	' O b s - k j U r\ - ' { n t - I s t s
obscure	' @ b s - ' k j u@ r\
obscured	' @ b s - ' k j u@ d
obscurely	' @ b s - ' k j u@ l - i:
obscures	' @ b s - ' k j u@ z
obscuring	' @ b s - ' k j u@ r\ - I N
obscurities	' @ b s - ' k j u@ r\ - I t - I z
obscurity	' @ b s - ' k j u@ r\ - I t - i:
obsequies	' O b s - I k - w I z
obsequious	' @ b s - ' i: k - w i@ s
obsequiously	' @ b s - ' i: k - w i@ s - l i:
obsequiousness	' @ b s - ' i: k - w i@ s - n @ s
observable	' @ b - ' z @@ v - @ b l
observably	' @ b - ' z @@ v - @ b - l i:
observance	' @ b - ' z @@ v - @ n s
observances	' @ b - ' z @@ v - @ n s - I z
observant	' @ b - ' z @@ v - @ n t
observantly	' @ b - ' z @@ v - @ n t - l i:
observation	' O b - z @ v - ' {I S - @ n
observations	' O b - z @ v - ' {I S - @ n z
observatories	' @ b - ' z @@ v - @ t - r\ I z
observatory	' @ b - ' z @@ v - @ t - r\ i:
observe	' @ b - ' z @@ v
observed	' @ b - ' z @@ v d
observer	' @ b - ' z @@ v - @ r\
observers	' @ b - ' z @@ v - @ z
observes	' @ b - ' z @@ v z
observing	' @ b - ' z @@ v - I N
observingly	' @ b - ' z @@ v - I N - l i:
obsess	' @ b s - ' e s
obsessed	' @ b s - ' e s t
obsesses	' @ b s - ' e s - I z
obsessing	' @ b s - ' e s - I N
obsession	' @ b s - ' e S - @ n
obsessional	' @ b s - ' e S - @ n l
obsessionally	' @ b s - ' e S - @ n - @ l - i:
obsessions	' @ b s - ' e S - @ n z
obsessive	' @ b s - ' e s - I v
obsessively	' @ b s - ' e s - I v - l i:
obsidian	' @ b s - ' I d - i@ n
obsolescence	' O b s - @ l - ' e s n s
obsolescent	' O b s - @ l - ' e s n t
obsolete	' O b s - @ l - i: t
obstacle	' O b s - t @ k l
obstacles	' O b s - t @ k l z
obstetric	' @ b s - ' t e t - r\ I k
obstetrical	' @ b s - ' t e t - r\ I k l
obstetrician	' O b s - t I t - ' r\ I S - @ n
obstetricians	' O b s - t I t - ' r\ I S - @ n z
obstetrics	' @ b s - ' t e t - r\ I k s
obstinacy	' O b s - t I n - @ s - i:
obstinate	' O b s - t I n - @ t
obstinately	' O b s - t I n - @ t - l i:
obstreperous	' @ b s - ' t r\ e p - @ r\ - @ s
obstreperously	' @ b s - ' t r\ e p - @ r\ - @ s - l i:
obstreperousness	' @ b s - ' t r\ e p - @ r\ - @ s - n @ s
obstruct	' @ b s - ' t r\ 6 k t
obstructed	' @ b s - ' t r\ 6 k - t I d
obstructing	' @ b s - ' t r\ 6 k - t I N
obstruction	' @ b s - ' t r\ 6 k - S @ n
obstructionism	' @ b s - ' t r\ 6 k - S @ n - I z - @ m
obstructionist	' @ b s - ' t r\ 6 k - S @ n - I s t
obstructionists	' @ b s - ' t r\ 6 k - S @ n - I s t s
obstructions	' @ b s - ' t r\ 6 k - S @ n z
obstructive	' @ b s - ' t r\ 6 k - t I v
obstructively	' @ b s - ' t r\ 6 k - t I v - l i:
obstructs	' @ b s - ' t r\ 6 k t s
obtain	' @ b t - ' {I n
obtainable	' @ b t - ' {I n - @ b l
obtained	' @ b t - ' {I n d
obtaining	' @ b t - ' {I n - I N
obtains	' @ b t - ' {I n z
obtrude	' @ b t - ' r\ }: d
obtruded	' @ b t - ' r\ }: d - I d
obtrudes	' @ b t - ' r\ }: d z
obtruding	' @ b t - ' r\ }: d - I N
obtrusive	' @ b t - ' r\ }: s - I v
obtrusively	' @ b t - ' r\ }: s - I v - l i:
obtuse	' @ b t - ' j }: s
obtusely	' @ b t - ' j }: s - l i:
obtuseness	' @ b t - ' j }: s - n @ s
obverse	' O b - v @@ s
obverses	' O b - v @@ s - I z
obviate	' O b - v I - {I t
obviated	' O b - v I - {I t - I d
obviates	' O b - v I - {I t s
obviating	' O b - v I - {I t - I N
obvious	' O b - v i@ s
obviously	' O b - v i@ s - l i:
obviousness	' O b - v i@ s - n @ s
ocarina	' O k - @ r\ - ' i: n - @
ocarinas	' O k - @ r\ - ' i: n - @ z
occasion	' @ k - ' {I Z n
occasional	' @ k - ' {I Z - @ n l
occasionally	' @ k - ' {I Z - @ n - @ l - i:
occasioned	' @ k - ' {I Z n d
occasioning	' @ k - ' {I Z - n I N
occasions	' @ k - ' {I Z n z
occult	' O k - ' 6 l t
occupancies	' O k - j U p - @ n s - I z
occupancy	' O k - j U p - @ n s - i:
occupant	' O k - j U p - @ n t
occupants	' O k - j U p - @ n t s
occupation	' O k - j U p - ' {I S - @ n
occupational	' O k - j U p - ' {I S - @ n - @ l
occupations	' O k - j U p - ' {I S - @ n z
occupied	' O k - j U p - Ae d
